算法标注的字图片统计如下：
range_0_85_to_0_90：表示accuracy在[0.85,0.90)区间的个数
range_0_90_to_0_95：表示accuracy在[0.90,0.95)区间的个数
range_0_95_to_1：表示accuracy在[0.95,1]区间的个数

 char  | range_0_85_to_0_90 | range_0_90_to_0_95 | range_0_95_to_1 
-------+--------------------+--------------------+-----------------
  無   |               6051 |              13631 |          192885
  不   |                202 |                347 |          172785
  若   |               1661 |               3450 |          120900
  薩   |               1428 |               2587 |          107812
  是   |               3666 |              11868 |          103575
  一   |               1318 |               2562 |           93567
  淨   |               1468 |               3665 |           93367
  如   |               3604 |              10068 |           89816
  菩   |               2620 |               6178 |           84575
  爲   |                640 |               1274 |           79874
  淸   |                220 |                440 |           76928
  有   |               3239 |               9879 |           75840
  智   |                403 |                942 |           72023
  切   |               2372 |               7387 |           69259
  羅   |                861 |               1694 |           68253
  生   |               1522 |               3658 |           60988
  得   |               1116 |               2734 |           60873
  所   |               6377 |              16166 |           59458
  佛   |               3193 |               7732 |           58986
  以   |                473 |               1023 |           58646
  諸   |               5813 |              13756 |           57898
  於   |                913 |               2070 |           55620
  界   |               1182 |               2494 |           52521
  者   |               1695 |               4356 |           50322
  善   |               2507 |               5615 |           49916
  何   |                825 |               2247 |           48697
  空   |                522 |               1192 |           46938
  相   |                286 |                439 |           46839
  多   |               1026 |               1475 |           43432
  亦   |                 87 |                170 |           43332
  摩   |                791 |               1474 |           41516
  說   |                275 |                572 |           39642
  等   |               1650 |               3600 |           38621
  衆   |                148 |                221 |           38283
  我   |                397 |                895 |           34559
  三   |                145 |                192 |           33567
  非   |                738 |               1861 |           33527
  四   |                401 |               1061 |           32917
  時   |                477 |               1111 |           30944
  至   |                606 |               1638 |           29302
  受   |                753 |               2263 |           29112
  名   |                113 |                275 |           29042
  此   |                654 |               1367 |           29012
  般   |               1196 |               2997 |           28428
  處   |                202 |                357 |           28093
  應   |                445 |                827 |           28070
  十   |                418 |               1488 |           27992
  能   |               1470 |               3594 |           27768
  乃   |                408 |               1184 |           27513
  復   |                286 |                544 |           27510
  知   |                434 |               1282 |           27179
  現   |               1419 |               3161 |           27103
  而   |                 68 |                120 |           26689
  提   |                156 |                252 |           26478
  見   |                841 |               2230 |           26400
  作   |                594 |               1389 |           25310
  可   |               2554 |               8648 |           24950
  言   |                114 |                197 |           23839
  地   |                199 |                425 |           23317
  分   |                 29 |                 71 |           23316
  之   |                838 |               3234 |           23029
  法   |              17261 |              36927 |           22895
  道   |                580 |               1154 |           22362
  方   |                 93 |                189 |           20386
  色   |                631 |               1576 |           20198
  意   |                546 |               1434 |           19782
  五   |                 69 |                 77 |           19545
  皆   |                423 |               1090 |           18504
  其   |                470 |               1302 |           18415
  天   |               1257 |               3953 |           18366
  別   |                624 |               1447 |           18043
  八   |                 28 |                 29 |           17834
  識   |                136 |                261 |           17481
  覺   |                 96 |                115 |           16765
  常   |                393 |                903 |           16079
  施   |                114 |                188 |           15936
  力   |                484 |                558 |           15465
  欲   |                104 |                231 |           15452
  緣   |               1844 |               4125 |           15425
  樂   |                314 |                702 |           15204
  眼   |                576 |               1442 |           15180
  念   |                330 |                909 |           14932
  滅   |                 86 |                176 |           14755
  故   |              23402 |              49760 |           14590
  斷   |                736 |               1969 |           14309
  聲   |                204 |                324 |           14239
  苦   |                 78 |                124 |           13680
  云   |                 43 |                 92 |           13310
  思   |                 33 |                 49 |           13187
  安   |                 61 |                 70 |           13068
  爾   |                141 |                268 |           12842
  明   |                153 |                179 |           12820
  眞   |                346 |                755 |           12765
  成   |                 55 |                 86 |           12686
  聖   |                155 |                300 |           12536
  令   |                458 |               1091 |           12365
  次   |                 47 |                 39 |           12345
  捨   |                 78 |                172 |           11648
  足   |                 79 |                167 |           11249
  阿   |               1609 |               4622 |           10681
  耳   |                113 |                110 |           10574
  入   |                156 |                513 |           10510
  果   |                 39 |                 46 |           10314
  根   |                 63 |                 95 |           10239
  出   |                225 |                467 |           10218
  當   |               3264 |               8468 |           10092
  則   |                 30 |                 38 |           10025
